"","Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"66678","Thu","00:41:00",0.326,0.128,243.23,1.4,0,0,0
"66679","Thu","00:42:00",0.324,0.126,242.98,1.4,0,0,0
"66680","Thu","00:43:00",0.322,0.126,242.95,1.4,0,0,0
"66681","Thu","00:44:00",0.322,0.124,242.6,1.4,0,0,0
"66682","Thu","00:45:00",0.322,0.128,243.33,1.4,0,0,0
"66683","Thu","00:46:00",0.318,0.118,241.32,1.4,0,0,0
"66684","Thu","00:47:00",0.316,0.116,240.93,1.4,0,0,0
"66685","Thu","00:48:00",0.316,0.116,240.93,1.4,0,0,0
"66686","Thu","00:49:00",0.274,0.058,240.36,1.2,0,0,0
"66687","Thu","00:50:00",0.222,0,240.93,1,0,0,0
"66688","Thu","00:51:00",0.222,0,240.83,1,0,0,0
"66689","Thu","00:52:00",0.222,0,240.52,1,0,0,0
"66690","Thu","00:53:00",0.224,0,241.45,1,0,0,0
"66691","Thu","00:54:00",0.224,0,241.59,1,0,0,0
"66692","Thu","00:55:00",0.226,0,242.55,1,0,0,0
"66693","Thu","00:56:00",0.226,0,242.88,1,0,0,0
"66694","Thu","00:57:00",0.226,0,242.63,1,0,0,0
"66695","Thu","00:58:00",0.224,0,242.2,1,0,0,0
"66696","Thu","00:59:00",0.224,0,241.84,1,0,0,0
"66697","Thu","01:00:00",0.222,0,240.89,1,0,0,0
"66698","Thu","01:01:00",0.222,0,240.86,1,0,0,0
"66699","Thu","01:02:00",0.26,0,240.64,1.2,0,0,0
"66700","Thu","01:03:00",0.298,0.088,240.72,1.2,0,0,0
"66701","Thu","01:04:00",0.302,0.094,242.18,1.2,0,0,0
"66702","Thu","01:05:00",0.302,0.096,242.66,1.2,0,0,0
"66703","Thu","01:06:00",0.302,0.096,242.77,1.2,0,0,0
"66704","Thu","01:07:00",0.3,0.096,242.6,1.2,0,0,0
"66705","Thu","01:08:00",0.298,0.094,242.38,1.2,0,0,0
"66706","Thu","01:09:00",0.298,0.094,242.21,1.2,0,0,0
"66707","Thu","01:10:00",0.296,0.096,242.61,1.2,0,0,0
"66708","Thu","01:11:00",0.296,0.094,242.24,1.2,0,0,0
"66709","Thu","01:12:00",0.258,0,242.66,1,0,0,0
"66710","Thu","01:13:00",0.226,0,242.99,1,0,0,0
"66711","Thu","01:14:00",0.228,0,243.53,1,0,0,0
"66712","Thu","01:15:00",0.316,0.088,243.12,1.4,0,0,0
"66713","Thu","01:16:00",0.434,0.252,242.83,2.2,0,0,0
"66714","Thu","01:17:00",0.418,0.254,243.08,2,0,2,0
"66715","Thu","01:18:00",0.414,0.254,243.35,2,0,1,0
"66716","Thu","01:19:00",0.412,0.252,242.71,2,0,1,0
"66717","Thu","01:20:00",0.41,0.246,241.63,2,0,2,0
"66718","Thu","01:21:00",0.408,0.246,241.86,2,0,1,0
"66719","Thu","01:22:00",0.408,0.248,242.17,2,0,2,0
"66720","Thu","01:23:00",0.404,0.244,241.7,2,0,1,0
"66721","Thu","01:24:00",0.402,0.242,241.14,1.8,0,1,0
"66722","Thu","01:25:00",0.402,0.244,241.41,1.8,0,2,0
"66723","Thu","01:26:00",0.402,0.246,241.95,1.8,0,1,0
"66724","Thu","01:27:00",0.402,0.248,242.36,1.8,0,2,0
"66725","Thu","01:28:00",0.402,0.25,242.6,1.8,0,1,0
"66726","Thu","01:29:00",0.398,0.246,242.11,1.8,0,1,0
"66727","Thu","01:30:00",0.336,0.156,241.88,1.6,0,2,0
"66728","Thu","01:31:00",0.3,0.104,240.78,1.2,0,1,0
"66729","Thu","01:32:00",0.3,0.104,240.68,1.2,0,1,0
"66730","Thu","01:33:00",0.3,0.106,240.87,1.2,0,2,0
"66731","Thu","01:34:00",0.298,0.106,241,1.2,0,1,0
"66732","Thu","01:35:00",0.298,0.106,240.97,1.2,0,1,0
"66733","Thu","01:36:00",0.298,0.106,241.09,1.2,0,1,0
"66734","Thu","01:37:00",0.298,0.106,241.1,1.2,0,2,0
"66735","Thu","01:38:00",0.298,0.106,241.21,1.2,0,1,0
"66736","Thu","01:39:00",0.296,0.106,241.27,1.2,0,1,0
"66737","Thu","01:40:00",0.296,0.108,241.4,1.2,0,1,0
"66738","Thu","01:41:00",0.296,0.108,241.61,1.2,0,1,0
"66739","Thu","01:42:00",0.296,0.106,241.37,1.2,0,2,0
"66740","Thu","01:43:00",0.294,0.106,240.99,1.2,0,1,0
"66741","Thu","01:44:00",0.294,0.106,241.27,1.2,0,1,0
"66742","Thu","01:45:00",0.242,0,241.26,1,0,0,0
"66743","Thu","01:46:00",0.224,0,241.76,1,0,0,0
"66744","Thu","01:47:00",0.224,0,242.38,1,0,0,0
"66745","Thu","01:48:00",0.224,0,242.15,1,0,0,0
"66746","Thu","01:49:00",0.288,0.05,241.69,1.4,0,0,0
"66747","Thu","01:50:00",0.298,0.088,241.02,1.2,0,0,0
"66748","Thu","01:51:00",0.298,0.088,240.75,1.2,0,0,0
"66749","Thu","01:52:00",0.298,0.088,241.06,1.2,0,0,0
"66750","Thu","01:53:00",0.3,0.09,241.57,1.2,0,0,0
"66751","Thu","01:54:00",0.3,0.094,242.29,1.2,0,0,0
"66752","Thu","01:55:00",0.3,0.096,242.77,1.2,0,0,0
"66753","Thu","01:56:00",0.386,0.19,242.48,1.8,0,0,0
"66754","Thu","01:57:00",0.406,0.228,242.24,1.8,0,0,0
"66755","Thu","01:58:00",0.398,0.222,242.11,1.8,0,0,0
"66756","Thu","01:59:00",0.326,0.116,240.55,1.4,0,0,0
"66757","Thu","02:00:00",0.324,0.116,240.33,1.4,0,0,0
"66758","Thu","02:01:00",0.328,0.126,242.57,1.4,0,0,0
"66759","Thu","02:02:00",0.328,0.13,243.12,1.4,0,0,0
"66760","Thu","02:03:00",0.326,0.128,243.05,1.4,0,0,0
"66761","Thu","02:04:00",0.324,0.128,243.09,1.4,0,0,0
"66762","Thu","02:05:00",0.322,0.124,242.07,1.4,0,0,0
"66763","Thu","02:06:00",0.322,0.124,242.21,1.4,0,0,0
"66764","Thu","02:07:00",0.322,0.126,242.47,1.4,0,0,0
"66765","Thu","02:08:00",0.322,0.126,242.57,1.4,0,0,0
"66766","Thu","02:09:00",0.322,0.128,243.08,1.4,0,0,0
"66767","Thu","02:10:00",0.322,0.13,243.28,1.4,0,0,0
"66768","Thu","02:11:00",0.242,0,243.52,1,0,0,0
"66769","Thu","02:12:00",0.228,0,244.09,1,0,0,0
"66770","Thu","02:13:00",0.228,0,244.02,1,0,0,0
"66771","Thu","02:14:00",0.228,0,244.02,1,0,0,0
"66772","Thu","02:15:00",0.226,0,243.25,1,0,0,0
"66773","Thu","02:16:00",0.226,0,243.06,1,0,0,0
"66774","Thu","02:17:00",0.228,0,243.38,1,0,0,0
"66775","Thu","02:18:00",0.228,0,243.91,1,0,0,0
"66776","Thu","02:19:00",0.228,0,243.93,1,0,0,0
"66777","Thu","02:20:00",0.228,0,243.55,1,0,0,0
"66778","Thu","02:21:00",0.228,0,243.45,1,0,0,0
"66779","Thu","02:22:00",0.226,0,242.42,1,0,0,0
"66780","Thu","02:23:00",0.226,0,243.14,1,0,0,0
"66781","Thu","02:24:00",0.228,0,243.37,1,0,0,0
"66782","Thu","02:25:00",0.228,0,243.53,1,0,0,0
"66783","Thu","02:26:00",0.226,0,243.22,1,0,0,0
"66784","Thu","02:27:00",0.228,0,243.57,1,0,0,0
"66785","Thu","02:28:00",0.228,0,243.76,1,0,0,0
"66786","Thu","02:29:00",0.226,0,243.36,1,0,0,0
"66787","Thu","02:30:00",0.226,0,243.17,1,0,0,0
"66788","Thu","02:31:00",0.228,0,243.58,1,0,0,0
"66789","Thu","02:32:00",0.228,0,244.1,1,0,0,0
"66790","Thu","02:33:00",0.23,0,244.55,1,0,0,0
"66791","Thu","02:34:00",0.23,0,244.98,1,0,0,0
"66792","Thu","02:35:00",0.228,0,244.36,1,0,0,0
"66793","Thu","02:36:00",0.292,0.06,244.42,1.4,0,0,0
"66794","Thu","02:37:00",0.388,0.19,243.85,1.8,0,0,0
"66795","Thu","02:38:00",0.416,0.238,243.83,2,0,0,0
"66796","Thu","02:39:00",0.416,0.244,243.73,2,0,0,0
"66797","Thu","02:40:00",0.436,0.276,244.66,2,0,0,0
"66798","Thu","02:41:00",0.436,0.28,245.02,2,0,0,0
"66799","Thu","02:42:00",0.432,0.28,245.06,2,0,0,0
"66800","Thu","02:43:00",0.426,0.272,244.04,2,0,0,0
"66801","Thu","02:44:00",0.424,0.27,243.58,2,0,0,0
"66802","Thu","02:45:00",0.42,0.268,243.42,2,0,0,0
"66803","Thu","02:46:00",0.35,0.16,243.19,1.6,0,0,0
"66804","Thu","02:47:00",0.35,0.164,243.9,1.6,0,0,0
"66805","Thu","02:48:00",0.348,0.162,243.6,1.6,0,0,0
"66806","Thu","02:49:00",0.346,0.16,243.04,1.6,0,0,0
"66807","Thu","02:50:00",0.346,0.162,243.44,1.6,0,0,0
"66808","Thu","02:51:00",0.346,0.162,243.35,1.6,0,0,0
"66809","Thu","02:52:00",0.256,0,243.34,1,0,0,0
"66810","Thu","02:53:00",0.252,0,243.21,1,0,0,0
"66811","Thu","02:54:00",0.252,0,242.96,1,0,0,0
"66812","Thu","02:55:00",0.252,0,243.33,1,0,0,0
"66813","Thu","02:56:00",0.252,0,243.16,1,0,0,0
"66814","Thu","02:57:00",0.25,0,242.77,1,0,0,0
"66815","Thu","02:58:00",0.252,0,243.36,1,0,0,0
"66816","Thu","02:59:00",0.252,0,243.38,1,0,0,0
"66817","Thu","03:00:00",0.252,0,243.5,1,0,0,0
"66818","Thu","03:01:00",0.252,0,243.57,1,0,0,0
"66819","Thu","03:02:00",0.254,0,244.24,1,0,0,0
"66820","Thu","03:03:00",0.254,0,244.22,1,0,0,0
"66821","Thu","03:04:00",0.254,0,243.99,1,0,0,0
"66822","Thu","03:05:00",0.252,0,243.44,1,0,0,0
"66823","Thu","03:06:00",0.252,0,243.4,1,0,0,0
"66824","Thu","03:07:00",0.252,0,243.49,1,0,0,0
"66825","Thu","03:08:00",0.252,0,243.55,1,0,0,0
"66826","Thu","03:09:00",0.252,0,243.19,1,0,0,0
"66827","Thu","03:10:00",0.254,0,243.74,1,0,0,0
"66828","Thu","03:11:00",0.254,0,244.11,1,0,0,0
"66829","Thu","03:12:00",0.25,0,242.84,1,0,0,0
"66830","Thu","03:13:00",0.25,0,242.81,1,0,0,0
"66831","Thu","03:14:00",0.25,0,242.48,1,0,0,0
"66832","Thu","03:15:00",0.25,0,242.5,1,0,0,0
"66833","Thu","03:16:00",0.25,0,242.76,1,0,0,0
"66834","Thu","03:17:00",0.25,0,242.92,1,0,0,0
"66835","Thu","03:18:00",0.368,0.15,242.49,1.6,0,0,0
"66836","Thu","03:19:00",0.36,0.158,242.86,1.6,0,0,0
"66837","Thu","03:20:00",0.358,0.162,243.33,1.6,0,0,0
"66838","Thu","03:21:00",0.358,0.162,243.53,1.6,0,0,0
"66839","Thu","03:22:00",0.356,0.162,243.44,1.6,0,0,0
"66840","Thu","03:23:00",0.386,0.184,243.53,1.8,0,0,0
"66841","Thu","03:24:00",0.406,0.234,243,1.8,0,0,0
"66842","Thu","03:25:00",0.404,0.238,243.8,1.8,0,0,0
"66843","Thu","03:26:00",0.402,0.236,243.5,1.8,0,0,0
"66844","Thu","03:27:00",0.4,0.234,243.13,1.8,0,0,0
"66845","Thu","03:28:00",0.4,0.234,243.34,1.8,0,0,0
"66846","Thu","03:29:00",0.398,0.236,243.51,1.8,0,0,0
"66847","Thu","03:30:00",0.396,0.238,243.86,1.8,0,0,0
"66848","Thu","03:31:00",0.392,0.234,243.03,1.8,0,0,0
"66849","Thu","03:32:00",0.346,0.166,242.99,1.6,0,0,0
"66850","Thu","03:33:00",0.258,0,243.12,1,0,0,0
"66851","Thu","03:34:00",0.224,0,242.06,1,0,0,0
"66852","Thu","03:35:00",0.224,0,241.77,1,0,0,0
"66853","Thu","03:36:00",0.226,0,242.34,1,0,0,0
"66854","Thu","03:37:00",0.228,0,243.26,1,0,0,0
"66855","Thu","03:38:00",0.228,0,243.71,1,0,0,0
"66856","Thu","03:39:00",0.23,0,244.83,1,0,0,0
"66857","Thu","03:40:00",0.23,0,244.69,1,0,0,0
"66858","Thu","03:41:00",0.23,0,244.55,1,0,0,0
"66859","Thu","03:42:00",0.23,0,244.38,1,0,0,0
"66860","Thu","03:43:00",0.23,0,244.4,1,0,0,0
"66861","Thu","03:44:00",0.228,0,244.16,1,0,0,0
"66862","Thu","03:45:00",0.268,0,244.21,1.4,0,0,0
"66863","Thu","03:46:00",0.312,0.12,244.13,1.4,0,1,0
"66864","Thu","03:47:00",0.312,0.12,244.22,1.4,0,1,0
"66865","Thu","03:48:00",0.312,0.118,243.96,1.4,0,2,0
"66866","Thu","03:49:00",0.312,0.116,243.48,1.4,0,1,0
"66867","Thu","03:50:00",0.312,0.118,243.84,1.4,0,2,0
"66868","Thu","03:51:00",0.314,0.12,243.92,1.4,0,1,0
"66869","Thu","03:52:00",0.314,0.122,244.5,1.4,0,1,0
"66870","Thu","03:53:00",0.314,0.122,244.6,1.4,0,2,0
"66871","Thu","03:54:00",0.314,0.122,244.56,1.4,0,1,0
"66872","Thu","03:55:00",0.312,0.12,243.91,1.4,0,2,0
"66873","Thu","03:56:00",0.31,0.116,243.55,1.4,0,1,0
"66874","Thu","03:57:00",0.31,0.116,243.58,1.4,0,1,0
"66875","Thu","03:58:00",0.308,0.112,242.74,1.4,0,2,0
"66876","Thu","03:59:00",0.412,0.228,242.72,2,0,1,0
"66877","Thu","04:00:00",0.416,0.25,242.71,2,0,1,0
"66878","Thu","04:01:00",0.41,0.248,242.32,2,0,2,0
"66879","Thu","04:02:00",0.408,0.248,242.36,2,0,1,0
"66880","Thu","04:03:00",0.406,0.246,242.12,2,0,1,0
"66881","Thu","04:04:00",0.404,0.248,242.18,2,0,2,0
"66882","Thu","04:05:00",0.402,0.248,242.22,1.8,0,1,0
"66883","Thu","04:06:00",0.4,0.246,241.98,1.8,0,1,0
"66884","Thu","04:07:00",0.398,0.246,242.09,1.8,0,1,0
"66885","Thu","04:08:00",0.396,0.246,241.92,1.8,0,1,0
"66886","Thu","04:09:00",0.396,0.25,242.61,1.8,0,2,0
"66887","Thu","04:10:00",0.396,0.252,242.99,1.8,0,1,0
"66888","Thu","04:11:00",0.432,0.28,243.06,2.2,0,1,0
"66889","Thu","04:12:00",0.47,0.358,242.94,2.4,0,1,0
"66890","Thu","04:13:00",0.428,0.296,243.07,2.2,0,2,0
"66891","Thu","04:14:00",0.348,0.17,242.85,1.6,0,0,0
"66892","Thu","04:15:00",0.304,0.094,242.73,1.2,0,0,0
"66893","Thu","04:16:00",0.302,0.094,242.65,1.2,0,0,0
"66894","Thu","04:17:00",0.302,0.096,243.08,1.2,0,0,0
"66895","Thu","04:18:00",0.3,0.1,243.6,1.2,0,0,0
"66896","Thu","04:19:00",0.298,0.096,243.05,1.2,0,0,0
"66897","Thu","04:20:00",0.292,0.086,243.38,1.2,0,0,0
"66898","Thu","04:21:00",0.228,0,243.82,1,0,0,0
"66899","Thu","04:22:00",0.228,0,243.73,1,0,0,0
"66900","Thu","04:23:00",0.23,0,244.26,1,0,0,0
"66901","Thu","04:24:00",0.23,0,244.98,1,0,0,0
"66902","Thu","04:25:00",0.23,0,244.95,1,0,0,0
"66903","Thu","04:26:00",0.234,0,244.3,1,0,0,0
"66904","Thu","04:27:00",0.25,0,243.73,1,0,0,0
"66905","Thu","04:28:00",0.25,0,243.23,1,0,0,0
"66906","Thu","04:29:00",0.226,0,242.83,1,0,0,0
"66907","Thu","04:30:00",0.226,0,242.75,1,0,0,0
"66908","Thu","04:31:00",0.226,0,243,1,0,0,0
"66909","Thu","04:32:00",0.228,0,243.3,1,0,0,0
"66910","Thu","04:33:00",0.228,0,243.4,1,0,0,0
"66911","Thu","04:34:00",0.226,0,242.69,1,0,0,0
"66912","Thu","04:35:00",0.226,0,242.31,1,0,0,0
"66913","Thu","04:36:00",0.224,0,242.16,1,0,0,0
"66914","Thu","04:37:00",0.224,0,242.13,1,0,0,0
"66915","Thu","04:38:00",0.224,0,242.02,1,0,0,0
"66916","Thu","04:39:00",0.226,0,242.49,1,0,0,0
"66917","Thu","04:40:00",0.32,0.09,243.16,1.4,0,0,0
"66918","Thu","04:41:00",0.338,0.128,243.11,1.4,0,0,0
"66919","Thu","04:42:00",0.332,0.122,242.15,1.4,0,0,0
"66920","Thu","04:43:00",0.33,0.124,242.26,1.4,0,0,0
"66921","Thu","04:44:00",0.328,0.124,242.18,1.4,0,0,0
"66922","Thu","04:45:00",0.326,0.122,242.01,1.4,0,0,0
"66923","Thu","04:46:00",0.326,0.122,242.01,1.4,0,0,0
"66924","Thu","04:47:00",0.324,0.12,241.67,1.4,0,0,0
"66925","Thu","04:48:00",0.322,0.12,241.5,1.4,0,0,0
"66926","Thu","04:49:00",0.32,0.12,241.37,1.4,0,0,0
"66927","Thu","04:50:00",0.32,0.122,241.78,1.4,0,0,0
"66928","Thu","04:51:00",0.32,0.124,242.27,1.4,0,0,0
"66929","Thu","04:52:00",0.32,0.12,241.88,1.4,0,0,0
"66930","Thu","04:53:00",0.318,0.12,241.81,1.4,0,0,0
"66931","Thu","04:54:00",0.27,0.052,241.92,1.2,0,0,0
"66932","Thu","04:55:00",0.224,0,241.68,1,0,0,0
"66933","Thu","04:56:00",0.224,0,241.38,1,0,0,0
"66934","Thu","04:57:00",0.222,0,240.58,1,0,0,0
"66935","Thu","04:58:00",0.222,0,240.81,1,0,0,0
"66936","Thu","04:59:00",0.288,0.048,241.04,1.4,0,0,0
"66937","Thu","05:00:00",0.3,0.09,241.54,1.2,0,0,0
"66938","Thu","05:01:00",0.3,0.088,241.42,1.2,0,0,0
"66939","Thu","05:02:00",0.3,0.088,241.45,1.2,0,0,0
"66940","Thu","05:03:00",0.298,0.086,240.86,1.2,0,0,0
"66941","Thu","05:04:00",0.294,0.084,239.84,1.2,0,0,0
"66942","Thu","05:05:00",0.294,0.082,239.5,1.2,0,0,0
"66943","Thu","05:06:00",0.292,0.082,239.82,1.2,0,0,0
"66944","Thu","05:07:00",0.292,0.082,239.82,1.2,0,0,0
"66945","Thu","05:08:00",0.248,0,240.78,1,0,0,0
"66946","Thu","05:09:00",0.222,0,240.92,1,0,0,0
"66947","Thu","05:10:00",0.222,0,240.74,1,0,0,0
"66948","Thu","05:11:00",0.222,0,241.15,1,0,0,0
"66949","Thu","05:12:00",0.224,0,241.37,1,0,0,0
"66950","Thu","05:13:00",0.224,0,241.71,1,0,0,0
"66951","Thu","05:14:00",0.226,0,242.68,1,0,0,0
"66952","Thu","05:15:00",0.226,0,243.11,1,0,0,0
"66953","Thu","05:16:00",0.226,0,243.06,1,0,0,0
"66954","Thu","05:17:00",0.226,0,243.01,1,0,0,0
"66955","Thu","05:18:00",0.226,0,242.77,1,0,0,0
"66956","Thu","05:19:00",0.224,0,241.51,1,0,0,0
"66957","Thu","05:20:00",0.224,0,241.42,1,0,0,0
"66958","Thu","05:21:00",0.3,0.062,240.77,1.4,0,0,0
"66959","Thu","05:22:00",0.334,0.116,240.81,1.4,0,0,0
"66960","Thu","05:23:00",0.33,0.116,240.95,1.4,0,0,0
"66961","Thu","05:24:00",0.328,0.12,241.43,1.4,0,0,0
"66962","Thu","05:25:00",0.328,0.12,241.52,1.4,0,0,0
"66963","Thu","05:26:00",0.326,0.12,241.49,1.4,0,0,0
"66964","Thu","05:27:00",0.324,0.118,240.89,1.4,0,0,0
"66965","Thu","05:28:00",0.322,0.118,240.91,1.4,0,0,0
"66966","Thu","05:29:00",0.322,0.122,241.85,1.4,0,0,0
"66967","Thu","05:30:00",0.32,0.118,241.11,1.4,0,0,0
"66968","Thu","05:31:00",0.318,0.118,240.93,1.4,0,0,0
"66969","Thu","05:32:00",0.318,0.118,240.88,1.4,0,0,0
"66970","Thu","05:33:00",0.316,0.116,240.67,1.4,0,0,0
"66971","Thu","05:34:00",0.316,0.114,240.34,1.4,0,0,0
"66972","Thu","05:35:00",0.27,0.052,240.2,1.2,0,0,0
"66973","Thu","05:36:00",0.222,0,240.62,1,0,0,0
"66974","Thu","05:37:00",1.138,0,240.1,5,0,0,13
"66975","Thu","05:38:00",1.32,0,239.79,5.4,0,0,19
"66976","Thu","05:39:00",1.302,0,239.36,5.4,0,0,18
"66977","Thu","05:40:00",1.29,0,239.25,5.4,0,0,17
"66978","Thu","05:41:00",1.278,0,238.56,5.2,0,0,18
"66979","Thu","05:42:00",1.276,0,238.61,5.2,0,0,18
"66980","Thu","05:43:00",1.282,0,239.31,5.2,0,0,17
"66981","Thu","05:44:00",1.284,0,239.56,5.2,0,0,18
"66982","Thu","05:45:00",1.29,0,240.29,5.2,0,0,18
"66983","Thu","05:46:00",1.29,0,240.3,5.2,0,0,17
"66984","Thu","05:47:00",1.336,0,239.67,5.6,0,0,18
"66985","Thu","05:48:00",1.354,0.072,239.52,5.6,0,0,18
"66986","Thu","05:49:00",1.35,0.072,239.02,5.6,0,0,17
"66987","Thu","05:50:00",1.34,0.068,238.15,5.6,0,0,18
"66988","Thu","05:51:00",1.342,0.068,238.35,5.6,0,0,17
"66989","Thu","05:52:00",1.336,0.068,237.97,5.6,0,0,17
"66990","Thu","05:53:00",1.34,0.07,238.56,5.6,0,0,18
"66991","Thu","05:54:00",1.342,0.07,238.9,5.6,0,0,17
"66992","Thu","05:55:00",1.34,0.07,238.84,5.6,0,0,18
"66993","Thu","05:56:00",1.302,0,238.71,5.4,0,0,17
"66994","Thu","05:57:00",1.278,0,239.31,5.2,0,0,18
"66995","Thu","05:58:00",1.284,0,239.91,5.2,0,0,17
"66996","Thu","05:59:00",1.286,0,239.84,5.2,0,0,18
"66997","Thu","06:00:00",1.282,0,239.02,5.2,0,0,18
"66998","Thu","06:01:00",1.294,0,240.31,5.4,0,0,17
"66999","Thu","06:02:00",1.346,0,240.22,5.6,0,0,18
"67000","Thu","06:03:00",1.404,0.104,240.29,5.8,0,0,18
"67001","Thu","06:04:00",1.41,0.108,241.27,5.8,0,0,17
"67002","Thu","06:05:00",1.424,0.116,242.85,5.8,0,0,19
"67003","Thu","06:06:00",1.424,0.118,243.01,5.8,0,0,18
"67004","Thu","06:07:00",1.422,0.118,242.53,5.8,0,0,18
"67005","Thu","06:08:00",1.49,0.132,241.97,6.2,0,0,18
"67006","Thu","06:09:00",1.494,0.13,241.65,6.2,0,0,18
"67007","Thu","06:10:00",1.488,0.128,241.33,6.2,0,0,17
"67008","Thu","06:11:00",1.484,0.128,241,6.2,0,0,18
"67009","Thu","06:12:00",1.476,0.126,240.54,6,0,0,18
"67010","Thu","06:13:00",1.47,0.122,240.32,6,0,0,18
"67011","Thu","06:14:00",0.858,0.112,241.16,4,0,0,6
"67012","Thu","06:15:00",0.558,0.118,241.86,2.4,0,0,0
"67013","Thu","06:16:00",0.58,0.128,242.53,2.4,0,0,0
"67014","Thu","06:17:00",0.552,0.112,243.11,2.2,0,1,0
"67015","Thu","06:18:00",0.548,0.11,242.63,2.2,0,2,0
"67016","Thu","06:19:00",0.502,0.11,242.76,2,0,1,0
"67017","Thu","06:20:00",0.49,0.114,243.23,2,0,1,0
"67018","Thu","06:21:00",0.49,0.114,243.51,2,0,2,0
"67019","Thu","06:22:00",1.102,0.106,242.82,5,0,1,8
"67020","Thu","06:23:00",1.59,0.098,241.82,6.6,0,2,18
"67021","Thu","06:24:00",1.59,0.102,242.86,6.4,0,1,19
"67022","Thu","06:25:00",1.586,0.102,243.14,6.4,0,1,18
"67023","Thu","06:26:00",1.588,0.104,243.56,6.4,0,2,18
"67024","Thu","06:27:00",1.584,0.104,243.35,6.4,0,1,18
"67025","Thu","06:28:00",1.58,0.102,243.22,6.4,0,1,19
"67026","Thu","06:29:00",1.58,0.104,243.31,6.4,0,2,18
"67027","Thu","06:30:00",1.578,0.104,243.25,6.4,0,1,18
"67028","Thu","06:31:00",1.578,0.104,243.47,6.4,0,1,18
"67029","Thu","06:32:00",1.578,0.104,243.51,6.4,0,2,18
"67030","Thu","06:33:00",1.57,0.102,242.99,6.4,0,1,18
"67031","Thu","06:34:00",1.574,0.104,243.47,6.4,0,1,18
"67032","Thu","06:35:00",1.606,0.128,243.18,6.6,0,2,19
"67033","Thu","06:36:00",2.246,0.228,241.12,9.4,0,1,17
"67034","Thu","06:37:00",2.658,0.224,240.56,11,0,1,18
"67035","Thu","06:38:00",4.962,0.204,238.69,22.4,0,1,18
"67036","Thu","06:39:00",6.536,0.188,236.9,27.6,0,2,17
"67037","Thu","06:40:00",5.292,0.202,238.44,22.2,0,1,17
"67038","Thu","06:41:00",5.81,0.208,237.64,24.4,0,1,18
"67039","Thu","06:42:00",5.606,0.262,237.63,23.8,0,1,17
